2,1,0.4312
9,1,0.4312
10,1,0.1377
1,2,0.4312
3,2,0.1412
9,2,0.0785
10,2,0.0109
11,2,0.3382
2,3,0.1412
4,3,0.3597
10,3,0.35
11,3,0.0006
12,3,0.1485
3,4,0.3597
5,4,0.1444
11,4,0.1456
12,4,0
13,4,0.3502
4,5,0.1444
6,5,0.3597
12,5,0.3502
13,5,0
14,5,0.1456
5,6,0.3597
7,6,0.1412
13,6,0.1485
14,6,0.0006
15,6,0.35
6,7,0.1412
8,7,0.4312
14,7,0.3382
15,7,0.0109
16,7,0.0785
7,8,0.4312
15,8,0.1377
16,8,0.4312
1,9,0.4312
2,9,0.0785
10,9,0.0109
17,9,0.1412
18,9,0.3382
1,10,0.1377
2,10,0.0109
3,10,0.35
9,10,0.0109
11,10,0
17,10,0.35
18,10,0
19,10,0.1404
2,11,0.3382
3,11,0.0006
4,11,0.1456
10,11,0
12,11,0
18,11,0.1602
19,11,0
20,11,0.3554
3,12,0.1485
4,12,0
5,12,0.3502
11,12,0
13,12,0
19,12,0.3559
20,12,0
21,12,0.1454
4,13,0.3502
5,13,0
6,13,0.1485
12,13,0
14,13,0
20,13,0.1454
21,13,0
22,13,0.3559
5,14,0.1456
6,14,0.0006
7,14,0.3382
13,14,0
15,14,0
21,14,0.3554
22,14,0
23,14,0.1602
6,15,0.35
7,15,0.0109
8,15,0.1377
14,15,0
16,15,0.0109
22,15,0.1404
23,15,0
24,15,0.35
7,16,0.0785
8,16,0.4312
15,16,0.0109
23,16,0.3382
24,16,0.1412
9,17,0.1412
10,17,0.35
18,17,0.0006
25,17,0.3597
26,17,0.1485
9,18,0.3382
10,18,0
11,18,0.1602
17,18,0.0006
19,18,0
25,18,0.1456
26,18,0
27,18,0.3554
10,19,0.1404
11,19,0
12,19,0.3559
18,19,0
20,19,0
26,19,0.3559
27,19,0
28,19,0.1479
11,20,0.3554
12,20,0
13,20,0.1454
19,20,0
21,20,0
27,20,0.1457
28,20,0
29,20,0.3535
12,21,0.1454
13,21,0
14,21,0.3554
20,21,0
22,21,0
28,21,0.3535
29,21,0
30,21,0.1457
13,22,0.3559
14,22,0
15,22,0.1404
21,22,0
23,22,0
29,22,0.1479
30,22,0
31,22,0.3559
14,23,0.1602
15,23,0
16,23,0.3382
22,23,0
24,23,0.0006
30,23,0.3554
31,23,0
32,23,0.1456
15,24,0.35
16,24,0.1412
23,24,0.0006
31,24,0.1485
32,24,0.3597
17,25,0.3597
18,25,0.1456
26,25,0
33,25,0.1444
34,25,0.3502
17,26,0.1485
18,26,0
19,26,0.3559
25,26,0
27,26,0
33,26,0.3502
34,26,0
35,26,0.1454
18,27,0.3554
19,27,0
20,27,0.1457
26,27,0
28,27,0
34,27,0.1454
35,27,0
36,27,0.3535
19,28,0.1479
20,28,0
21,28,0.3535
27,28,0
29,28,0
35,28,0.3535
36,28,0
37,28,0.1451
20,29,0.3535
21,29,0
22,29,0.1479
28,29,0
30,29,0
